kde_value,density_criteria_met,disaster_id
236.99199048896898,No,CA_20100505_FAY
7.225391138335517,No,CA_20100515_METZEN
2467.243090899816,Yes,CA_20100618_DIABLO
177.3220637112801,No,CA_20100701_CALIENTE
3348.705943767257,Yes,CA_20100715_VALLEY COMPLEX
1157.8468448215665,Yes,CA_20100721_CURVE
877.710227056582,Yes,CA_20100726_BULL
2848.8364214512844,Yes,CA_20100727_WEST
3265.7908810321633,Yes,CA_20100729_CROWN
156.39524300638286,No,CA_20100813_CARIBOU COMPLEX
7717.8465762349815,Yes,CA_20100821_MONTE
673.5380281705723,Yes,CA_20100824_POST
14.880782596540861,No,CA_20100906_BUCKEYE
872.9564805395397,Yes,CA_20100912_CANYON
360.32384747175763,Yes,CA_20110318_CENTER
4396.143382118619,Yes,CA_20110512_METZ
287.9774698039492,Yes,CA_20110619_ANTELOPE
141.64257858766408,No,CA_20110622_GRANITE
233.79951270162778,No,CA_20110623_HUGHES
2852.748519143967,Yes,CA_20110709_GRANITE
231.71113068824738,No,CA_20110721_EAGLE
2522.374881107776,Yes,CA_20110822_KEN
2784.762598362699,Yes,CA_20110902_HILL
3053.095709763221,Yes,CA_20110904_CANYON
2009.2373323102343,Yes,CA_20110905_WAGON
3825.2657595102396,Yes,CA_20110910_COMANCHE COMPLEX
3556.824770162262,Yes,CA_20110910_KEENE COMPLEX
25.35286666893488,No,CA_20110923_RUTH
17.010153296548374,No,CA_20111101_SODA
26.15382506815067,No,CA_20111201_EL DORADO COMPLEX
231.6593248100975,No,CA_20120508_TREE
2819.2529511584917,Yes,CA_20120606_SCOTT
363.8784291357431,Yes,CA_20120617_OLD 2
896.396401888684,Yes,CA_20120619_GULCH
140.83214393608353,No,CA_20120629_CARY
2394.077746285629,Yes,CA_20120705_DALE
114.1716255091845,No,CA_20120707_MILL
122.42082081608075,No,CA_20120710_SEVEN
1192.0077858184272,Yes,CA_20120711_ROBBERS
1827.4159316958269,Yes,CA_20120717_SAND
547.339996760914,Yes,CA_20120725_PENN
725.6086289050248,Yes,CA_20120729_CHIPS
975.4186818329113,Yes,CA_20120801_SALT CREEK
2573.4537838331703,Yes,CA_20120801_VOLCANO
15.52512592508733,No,CA_20120806_BARRY POINT
1084.6617703915465,Yes,CA_20120807_ARMARIO
718.0685740335051,Yes,CA_20120810_JAWBONE COMPLEX
1360.587554276259,Yes,CA_20120812_WYE
3046.8632495569746,Yes,CA_20120814_BUCK
227.27534858967607,No,CA_20120818_NORTH PASS
142.26796428164062,No,CA_20120818_PONDEROSA
866.5986933350239,Yes,CA_20120901_POWER
162.59503702014558,No,CA_20120921_COAL
372.21061315791127,Yes,CA_20120923_SHOCKEY
2321.8965325085605,Yes,CA_20120929_RANGE
60.99348251584761,No,CA_20121001_FLYNN
1358.79148892937,Yes,CA_20121018_TWENTY NINE
2474.0032372206556,Yes,CA_20121105_DEVORE
2963.0974182059535,Yes,CA_20130408_GOODENOUGH
3029.3142467797556,Yes,CA_20130501_SUMMIT
7687.224473650569,Yes,CA_20130502_SPRINGS
4844.089889260987,Yes,CA_20130513_LYTLE
4910.528728458114,Yes,CA_20130530_POWERHOUSE
2208.6578239726728,Yes,CA_20130609_HATHAWAY
219.03743186335183,No,CA_20130616_ROLLING
4055.2643154642815,Yes,CA_20130701_KIRKER
384.74009187268314,Yes,CA_20130706_CHARIOT
26.41800535252804,No,CA_20130708_KYBURZ
4867.45017321621,Yes,CA_20130715_MOUNTAIN
78.8406886995714,No,CA_20130729_DANCE
4297.629356311606,Yes,CA_20130805_FALLS
3440.4503192901298,Yes,CA_20130807_SILVER
236.53939451840506,No,CA_20130809_BEE
255.54398453252048,Yes,CA_20130810_AMERICAN
1851.0579043885853,Yes,CA_20130816_SWEDES
1311.6850658190208,Yes,CA_20130817_RIM
592.2619018547672,Yes,CA_20130823_DEER
1931.0206788778298,Yes,CA_20131004_SUMMIT
1936.7424676682942,Yes,CA_20131122_MCCABE
35.7159277499827,No,CA_20131216_PFEIFFER
8301.658957699305,Yes,CA_20140116_COLBY
7823.9714190687355,Yes,CA_20140514_SAN DIEGO COMPLEX
87.03578020025591,No,CA_20140526_HUNTER
46.26264706372212,No,CA_20140606_VALLEY
897.0060419605582,Yes,CA_20140613_SHIRLEY
1635.1365065104435,Yes,CA_20140701_BUTTS
209.90510175637016,No,CA_20140703_BANNER
1276.7156049857233,Yes,CA_20140725_SAND
291.8233133829103,Yes,CA_20140726_EL PORTAL
383.48407518609434,Yes,CA_20140730_BALD
518.1376243372349,Yes,CA_20140730_BEAVER COMPLEX
131.9909711764732,No,CA_20140730_DAY
1306.3033962980576,Yes,CA_20140730_KNF BEAVER
868.9329589320552,Yes,CA_20140731_EILER
67.76199815791809,No,CA_20140731_LITTLE DEER
430.46107124152303,Yes,CA_20140803_JULY COMPLEX
452.86076168924876,Yes,CA_20140814_HAPPY CAMP COMPLEX
651.245727580548,Yes,CA_20140818_JUNCTION
877.706379429846,Yes,CA_20140818_WAY
312.29372739046016,Yes,CA_20140824_OREGON
139.66437367127727,No,CA_20140905_BRIDGE
1740.546246670917,Yes,CA_20140910_GULCH
643.4565827986823,Yes,CA_20140913_BLACK
783.0270737652768,Yes,CA_20140913_DOG BAR
1098.4187050602363,Yes,CA_20140913_KING
644.6904022355444,Yes,CA_20140914_COURTNEY
734.3046158726964,Yes,CA_20140915_BOLES
570.5291458619263,Yes,CA_20141008_APPLEGATE
1537.4178687983674,Yes,CA_20150206_ROUND
2252.0733075338826,Yes,CA_20150617_LAKE
649.4008243468775,Yes,CA_20150618_CORRINE
395.2415653690695,Yes,CA_20150619_WASHINGTON
