kde_value,density_criteria_met,disaster_id
1031.9997730242217,Yes,CA_20040814_FRENCH
1296.814579399121,Yes,CA_20040814_LAKE
497.2635397520702,Yes,CA_20040820_MARIPOSA
501.28505521124924,Yes,CA_20040902_BEAR
1296.8912260804352,Yes,CA_20040902_RHONDA
2445.343934560337,Yes,CA_20040903_GEYSERS
2767.9836967541773,Yes,CA_20040903_PATTISON COMPLEX
134.26968634657,No,CA_20040905_HAZEN
512.4986887274289,Yes,CA_20040912_OLD HIGHWAY
234.3387718562805,No,CA_20040913_BORDER 16
1054.883304675977,Yes,CA_20041010_RUMSEY
703.7885973105227,Yes,CA_20041013_FREDS
1.7837306051546749,No,CA_20050622_HACKBERRY COMPLEX
2220.200317018195,Yes,CA_20050622_PARADISE
2626.077292611928,Yes,CA_20050701_BRAGDON
2879.4506757087433,Yes,CA_20050701_WARREN
765.003194083693,Yes,CA_20050709_NINE
3234.60748395187,Yes,CA_20050714_SIERRA
3179.0346530063453,Yes,CA_20050719_TESLA
46.11996800918629,No,CA_20050722_KINGSTON
249.67289507197205,No,CA_20050722_PINYON COMPLEX
322.9068650676364,Yes,CA_20050725_QUARTZ
3050.6369066843117,Yes,CA_20050726_KOOPMAN
513.7602371394057,Yes,CA_20050804_SANDRIDGE
86.23201814397957,No,CA_20050807_BLANCO
155.6306543773645,No,CA_20050826_MANTON
569.4567532784175,Yes,CA_20050903_GORMAN
1763.2507604296427,Yes,CA_20050905_BELLA
235.22207780550147,No,CA_20050906_VOLCAN
850.7437044611746,Yes,CA_20050916_CLOVER
4711.245098677397,Yes,CA_20050928_SAN TIMOTEO
13618.285008871775,Yes,CA_20050928_TOPANGA
3145.906923159513,Yes,CA_20051005_BORDER 50
4734.711216376239,Yes,CA_20051005_WOODHOUSE
7443.060647488924,Yes,CA_20051118_SCHOOL
10689.647718307775,Yes,CA_20060206_SIERRA
874.253469822996,Yes,CA_20060226_HOTLUM
14.438217165054633,No,CA_20060526_ENERGY
2160.1068811240443,Yes,CA_20060624_W INC .
517.9683470351063,Yes,CA_20060625_BOULDER COMPLEX
1452.5316985447294,Yes,CA_20060626_CHENEY
569.8995099283466,Yes,CA_20060626_PONTE
2708.834578750143,Yes,CA_20060709_CANYON
566.0440242479086,Yes,CA_20060710_CAMANCHE
2979.4881754383596,Yes,CA_20060714_EDGEMONT
473.2061973635735,Yes,CA_20060717_29
312.6327087903415,Yes,CA_20060722_RAMP
358.12371146331856,Yes,CA_20060722_RICO
2189.774888614389,Yes,CA_20060722_WHISPERING PINES
1301.7263667111777,Yes,CA_20060723_HORSE
76.06350429768347,No,CA_20060723_UNCLES COMPLEX
77.40397256949561,No,CA_20060724_ORLEANS COMPLEX
848.8801588887223,Yes,CA_20060726_HOY
375.8563646209029,Yes,CA_20060729_JUNCTION
549.2595413679583,Yes,CA_20060813_QUAIL
98.26653947284959,No,CA_20060816_MARYSVILLE
176.20131659885323,No,CA_20060824_HONEY
4342.001391754935,Yes,CA_20060829_EMERALD
5938.2102546471615,Yes,CA_20060904_DAY
419.1602135123231,Yes,CA_20060905_RALSTON
4.696343387582683,No,CA_20060914_SAWMILL
3471.610513401476,Yes,CA_20060916_ORCHARD
2822.3732015879596,Yes,CA_20060917_RANCH
1057.7950305449613,Yes,CA_20060922_YOLO
3490.8324284043442,Yes,CA_20061026_ESPERANZA
3899.615365821833,Yes,CA_20061203_SHEKELL
1350.8176030397574,Yes,CA_20070108_MALIBU
2290.496429698703,Yes,CA_20070114_DIABLO
10895.125747738408,Yes,CA_20070311_241
2892.2408589133497,Yes,CA_20070331_LAS FLORES
22303.809904788297,Yes,CA_20070508_GRIFFITH PARK
2366.1024653353475,Yes,CA_20070510_ISLAND
337.3602231413919,Yes,CA_20070513_WOFFORD
2756.5515734535898,Yes,CA_20070528_CROSBY
3250.9370995160484,Yes,CA_20070623_BIG PINE
2476.757662988927,Yes,CA_20070624_ANGORA
2155.871509482423,Yes,CA_20070624_WHITE
1078.506977575572,Yes,CA_20070629_CREEK
6115.860671764244,Yes,CA_20070704_ZACA TWO
1022.5846641969094,Yes,CA_20070706_INYO COMPLEX
2171.1968432282015,Yes,CA_20070707_CANYON
31.632280180056426,No,CA_20070710_FLETCHER
2533.343179529905,Yes,CA_20070804_DEVORE
1620.884635086653,Yes,CA_20070814_HWY 128
894.8457460942725,Yes,CA_20070816_GOLDEN
450.77780438282866,Yes,CA_20070818_WASHOE
539.9965806646717,Yes,CA_20070821_SNOW
3823.7807772725137,Yes,CA_20070903_LICK
3365.914519333577,Yes,CA_20070903_MOONLIGHT
2127.965211804998,Yes,CA_20070914_BUTLER 2
231.7591726391213,No,CA_20070915_ANGEL
5963.418859122849,Yes,CA_20071020_RANCH
6535.76171948812,Yes,CA_20071021_BUCKWEED
11530.538611330756,Yes,CA_20071021_CANYON
158.56757073143476,No,CA_20071021_MCCOY
174.82437432346057,No,CA_20071021_ROCA
10717.800387029687,Yes,CA_20071021_SANTIAGO
8256.022019795688,Yes,CA_20071021_WITCH
8147.187826894291,Yes,CA_20071022_CORONADO HILLS
4336.7402587984525,Yes,CA_20071022_GRASS VALLEY
6354.494759923927,Yes,CA_20071022_RICE
2713.6356107720003,Yes,CA_20071022_ROSA
4341.442390275583,Yes,CA_20071022_SLIDE
8141.023432774062,Yes,CA_20071023_POOMACHA
68.21689548677912,No,CA_20071108_TORRI
7069.228737599065,Yes,CA_20071124_CORRAL
8096.4441767845565,Yes,CA_20080426_SANTA ANITA
5652.872787578489,Yes,CA_20080522_SUMMIT
4133.243096967833,Yes,CA_20080608_BASIN COMPLEX
133.27418355441029,No,CA_20080610_LAGRANGE
2044.792897553528,Yes,CA_20080610_OPHIR
4723.859061787612,Yes,CA_20080611_HUMBOLDT
1694.685773347353,Yes,CA_20080611_MARTIN
86.72859976954037,No,CA_20080620_HELL'S HALF COMPLEX
2214.3173022975416,Yes,CA_20080620_MEU LIGHTNING COMPLEX
5090.173094712102,Yes,CA_20080620_TRABING
202.06389406076957,No,CA_20080621_AMERICAN RIVER COMPLEX
1376.3253448359887,Yes,CA_20080621_BTU LIGHTNING COMPLEX
1002.8092681390364,Yes,CA_20080621_CANYON COMPLEX
372.00381788751685,Yes,CA_20080621_IRON & ALPS COMPLEXES
6432.453914139912,Yes,CA_20080621_LIME & YOLLA BOLLY COMPLEXES
2176.5461699087,Yes,CA_20080621_SHU LIGHTNING COMPLEX
321.8771106130688,Yes,CA_20080621_SODA COMPLEX
3970.981218110882,Yes,CA_20080621_WILD
746.0693262698236,Yes,CA_20080628_PIUTE
8416.052080417794,Yes,CA_20080701_GAP
1710.1947662613018,Yes,CA_20080701_WIGGELL
491.7223602345666,Yes,CA_20080725_TELEGRAPH
1893.8125207295013,Yes,CA_20080803_CRAIG
112.39267613071993,No,CA_20080830_FINLEY
2697.5220134226442,Yes,CA_20080901_GLADDING
3252.47872745392,Yes,CA_20080901_MYRNA
508.67598053802243,Yes,CA_20080901_SMITTY
1473.3646552607072,Yes,CA_20081010_DEER
29363.177682295973,Yes,CA_20081012_ANGEL ISLAND
13747.413168618601,Yes,CA_20081012_MAREK
13560.587621444034,Yes,CA_20081013_SESNON
8474.355417674307,Yes,CA_20081113_TEA INCIDENT
13594.595240223782,Yes,CA_20081114_SAYRE
10860.140376622438,Yes,CA_20081115_FREEWAY COMPLEX
44.68778557380652,No,CA_20090422_MILFORD
8724.574762070568,Yes,CA_20090505_JESUSITA
319.507254464661,Yes,CA_20090624_ROCKY
64.26074473033039,No,CA_20090719_TENNANT
957.4391768847129,Yes,CA_20090801_HAT CREEK COMPLEX
895.2229201306815,Yes,CA_20090808_LA BREA
4183.942850557204,Yes,CA_20090812_LOCKHEED
3174.5864028811648,Yes,CA_20090813_CORRAL
1629.8916064938376,Yes,CA_20090814_YUBA
565.0224579945299,Yes,CA_20090826_BRYSON
22010.022620359756,Yes,CA_20090826_STATION
4118.502892633674,Yes,CA_20090827_GLORIA
9048.036144032158,Yes,CA_20090827_PV
1938.2032034894619,Yes,CA_20090830_FORTY NINE
2997.0430922219616,Yes,CA_20090830_OAK GLEN 3
2997.0430922219616,Yes,CA_20090831_PENDLETON
1836.2804102735859,Yes,CA_20090910_BLUFF
181.17809390808918,No,CA_20090919_VAIL
5722.924863342767,Yes,CA_20090922_GUIBERSON
4931.879971666117,Yes,CA_20091003_SHEEP
162.74824344024273,No,CA_20091025_LOMA
